Where papers came from,Papers,Paper_Name_Short,Was the landscape surrounding each field quantitatively measured at a spatial scale ? 500 m around the crop? (yes or no),Does the study consist of at least five crop fields that are at least 1 km apart from each other (yes or no),Are statistics reported as the univariate (or partial contribution) relationship between landscape composition and vector or vector-borne pathogen response? (yes or no),Was the vector-borne pathogen data collected from the crop?,Include for meta-analysis? (yes or no),"Location (state, country, region). List which one is provided",Croppping system,vector_or_pathogen_mod,"Vector or pathogen group (e.g.,  aphid, virus)",measurement of vector or pathogen (be consistent in naming),measurement_mod,"Grouping or individual vectors or pathogens used for analysis (list species if individual, provide description of group if grouped)",Specialist or generalist,Specialist_generalist_both_mod,Landscape category (original),Landscape_category_mod,Additonal information (not already listed) on why mutiple values (rows) are reported for the same spatial scale and landscape feature,Mode_of_pathogen_transmission,Spatial_scale_m_mod,Source in paper,Sample_size,P value,P_value_adj_1,Test statistic (type),Test statistic (raw),Test statisitc (raw sign edited for analysis),t_z_f_x2,r,AIC,Make note if the relationship was posititve (1) or negative (-1) (for future analysis/conversion),yi_from_ti_ri_pi_1,vi_from_ti_ri_pi_1
WOS or BASE,"Grilli, M. P. 2008. An area-wide model approach for the management of a disease vector planthopper in an extensive agricultural system. Ecol. Modell. 213: 308–318.",Grilli_2008,yes,yes,yes,NA,yes,Argentina,corn,vector,planthopper,abundance,abundance,Delphacodes kuscheli,specialist,specialist,"Winter pastures (e.g., oats)",Crop,,,2500,table 2 (and in-text),15,< 0.001,0.001,r,0.79,0.79,,0.79,,1,1.071431684,0.083333333
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,NA,yes,Arizona,fall melon,vector,whiteflies,abundance,abundance,Bemisia tabaci,generalist,generalist,cabbage,Crop,2011,,2000,table 4,47,< 0.05,0.05,,,,,,,-1,0.295907521,0.022727273
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,NA,yes,Arizona,fall melon,vector,whiteflies,abundance,abundance,Bemisia tabaci,generalist,generalist,cotton,Crop,2011,,2000,table 4,47,< 0.05,0.05,,,,,,,1,0.295907521,0.022727273
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,NA,yes,Arizona,fall melon,vector,whiteflies,abundance,abundance,Bemisia tabaci,generalist,generalist,fall melon,Crop,2011,,2000,table 4,47,< 0.05,0.05,,,,,,,-1,0.295907521,0.022727273
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,NA,yes,Arizona,fall melon,vector,whiteflies,abundance,abundance,Bemisia tabaci,generalist,generalist,spring mellon plus volunteers,Crop,2011,,3000,table 4,47,< 0.05,0.05,,,,,,,1,0.295907521,0.022727273
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,NA,yes,Arizona,fall melon,vector,whiteflies,abundance,abundance,Bemisia tabaci,generalist,generalist,spring mellon without volunteers,Crop,2011,,1000,table 4,47,< 0.05,0.05,,,,,,,1,0.295907521,0.022727273
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,NA,yes,Arizona,fall melon,vector,whiteflies,abundance,abundance,Bemisia tabaci,generalist,generalist,broccoli plus cauliflower,Crop,2011,,1500,table 4,47,< 0.05,0.05,,,,,,,-1,0.295907521,0.022727273
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,NA,yes,Arizona,fall melon,vector,whiteflies,abundance,abundance,Bemisia tabaci,generalist,generalist,spring mellons,Crop,2012,,1250,table 4,47,< 0.05,0.05,,,,,,,1,0.295907521,0.022727273
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,yes,yes,Arizona,fall melon,pathogen,virus,incidence (based on symptoms),incidence,cucurbit yellow stunting disorder virus (CYSDV),generalist,generalist,fall melon,Crop,,semipersistent,1500,in-text,47,< 0.001,0.001,R2,0.57,0.57,,0.754983444,,1,0.984444459,0.022727273
WOS or BASE,"Carriere, Y., B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, J. C. Palumbo, Y. Carrière, B. Degain, K. A. Hartfield, K. D. Nolte, S. E. Marsh, C. Ellers-Kirk, W. J. D. Van Leeuwen, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2014. Assessing Transmission of Crop Diseases by Insect Vectors in a Landscape Context. J. Econ. Entomol. 107: 1–10.",Carriere_et_al_2014,yes,yes,yes,yes,yes,Arizona,fall melon,pathogen,virus,incidence (based on symptoms),incidence,cucurbit yellow stunting disorder virus (CYSDV),generalist,generalist,spring mellon without volunteers,Crop,,semipersistent,1500,in-text,47,< 0.001,0.001,,,,,,,1,0.503254655,0.022727273
